Service ID,Revenue (EUR),Gross Margin (EUR),Units Serviced,Service Category,Service Type,Contract Type
BST-11824,84778,24187,20,Electrical & Automation,HMI Replacement,Framework Agreement
BST-10409,20286,1820,16,Process Optimization,Yield Improvement,Warranty
BST-14506,36502,8812,12,Process Optimization,Yield Improvement,EMI Finance
BST-14012,61021,6218,2,Mechanical Service,Drive Overhaul,Framework Agreement
BST-13657,84997,43709,3,Electrical & Automation,PLC Upgrade,EMI Finance
BST-12286,50894,5736,18,Process Optimization,Throughput Analysis,Annual Contract
BST-11679,25172,-716,16,Electrical & Automation,HMI Replacement,EMI Finance
BST-18935,59550,-14678,11,Mechanical Service,Line Inspection,Annual Contract
BST-11424,5630,-575,15,Process Optimization,Line Balancing,Warranty
BST-19674,80428,-15382,12,Process Optimization,Throughput Analysis,Framework Agreement
BST-16912,44850,14751,2,Electrical & Automation,Drive Tuning,Framework Agreement
BST-10520,12887,2680,13,Mechanical Service,Drive Overhaul,Framework Agreement
BST-10488,20209,-336,19,Electrical & Automation,HMI Replacement,Spot Order
BST-11535,51874,-11466,3,Electrical & Automation,Control Panel Service,Framework Agreement
BST-13582,84843,37471,5,Process Optimization,Scrap Reduction,EMI Finance
BST-13811,67148,794,12,Mechanical Service,Oven Maintenance,Framework Agreement
BST-18279,45291,27068,16,Mechanical Service,Roll Replacement,Spot Order
BST-19863,20808,-5677,4,Mechanical Service,Roll Replacement,EMI Finance
BST-10434,5447,1699,20,Process Optimization,Throughput Analysis,Spot Order
BST-19195,20718,-3889,20,Process Optimization,Scrap Reduction,Spot Order
BST-13257,6226,378,8,Process Optimization,Scrap Reduction,Warranty
BST-18928,59341,-6883,8,Process Optimization,Yield Improvement,Framework Agreement
BST-16873,48713,15992,19,Electrical & Automation,Sensor Calibration,Warranty
BST-13611,50552,7729,14,Electrical & Automation,Control Panel Service,Spot Order
BST-17359,18640,9748,2,Mechanical Service,Frame Repair,Warranty
BST-19654,13946,5040,17,Electrical & Automation,HMI Replacement,Annual Contract
BST-14557,21512,-1660,17,Electrical & Automation,PLC Upgrade,Spot Order
BST-10106,29602,13815,12,Electrical & Automation,PLC Upgrade,Annual Contract
BST-12615,52464,7974,8,Electrical & Automation,PLC Upgrade,Warranty
BST-16924,29930,-9631,4,Mechanical Service,Drive Overhaul,Framework Agreement
BST-15574,5520,-348,16,Mechanical Service,Roll Replacement,Spot Order
BST-14552,59299,15734,3,Process Optimization,Scrap Reduction,Annual Contract
BST-12547,20097,3995,20,Electrical & Automation,Sensor Calibration,EMI Finance
BST-13527,38262,-4299,4,Electrical & Automation,PLC Upgrade,Annual Contract
BST-15514,84248,37397,15,Mechanical Service,Oven Maintenance,Annual Contract
BST-11674,78715,14645,17,Mechanical Service,Oven Maintenance,EMI Finance
BST-11519,38677,3064,20,Mechanical Service,Roll Replacement,Framework Agreement
BST-16224,55100,-8964,3,Mechanical Service,Frame Repair,EMI Finance
BST-11584,69451,13479,17,Electrical & Automation,PLC Upgrade,EMI Finance
BST-15881,62121,-19037,13,Mechanical Service,Oven Maintenance,Framework Agreement
BST-15635,47305,20744,12,Electrical & Automation,PLC Upgrade,Spot Order
BST-19891,76771,29571,11,Process Optimization,OEE Consulting,Spot Order
